Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
300,PHI,2023-11-25,127,@,OKC,W 127-123,240,38,83,.458,24,42,.571,14,41,.341,37,45,.822,127,43,98,.439,27,55,.491,16,43,.372,21,26,.808,123
301,UTA,2023-11-10,127,@,MEM,W 127-121,240,41,76,.539,23,39,.590,18,37,.486,27,29,.931,127,46,101,.455,27,53,.509,19,48,.396,10,13,.769,121
302,TOR,2023-11-08,127,@,DAL,W 127-116,240,49,99,.495,38,63,.603,11,36,.306,18,27,.667,127,40,84,.476,23,43,.535,17,41,.415,19,31,.613,116
303,ATL,2023-10-30,127,,MIN,W 127-113,240,48,86,.558,34,56,.607,14,30,.467,17,18,.944,127,44,90,.489,28,57,.491,16,33,.485,9,15,.600,113
304,ATL,2023-10-29,127,@,MIL,W 127-110,240,47,93,.505,32,56,.571,15,37,.405,18,22,.818,127,39,86,.453,23,42,.548,16,44,.364,16,20,.800,110
305,LAL,2023-10-29,127,@,SAC,L 127-132 (OT),265,43,98,.439,28,53,.528,15,45,.333,26,34,.765,127,49,104,.471,32,56,.571,17,48,.354,17,24,.708,132
306,OKC,2024-02-02,126,,CHO,W 126-106,240,44,75,.587,27,39,.692,17,36,.472,21,27,.778,126,41,92,.446,27,61,.443,14,31,.452,10,14,.714,106
307,ATL,2024-01-28,126,,TOR,W 126-125,240,44,95,.463,38,68,.559,6,27,.222,32,40,.800,126,41,89,.461,26,58,.448,15,31,.484,28,32,.875,125
308,MIL,2024-01-24,126,,CLE,W 126-116,240,45,90,.500,34,61,.557,11,29,.379,25,28,.893,126,46,91,.505,33,53,.623,13,38,.342,11,15,.733,116
309,CLE,2024-01-22,126,@,ORL,W 126-99,240,45,80,.563,25,42,.595,20,38,.526,16,22,.727,126,34,74,.459,23,45,.511,11,29,.379,20,30,.667,99
310,UTA,2024-01-20,126,@,HOU,L 126-127 (OT),265,48,105,.457,35,62,.565,13,43,.302,17,22,.773,126,50,117,.427,37,78,.474,13,39,.333,14,22,.636,127
311,NYK,2024-01-20,126,,TOR,W 126-100,240,48,88,.545,34,49,.694,14,39,.359,16,20,.800,126,38,92,.413,27,58,.466,11,34,.324,13,23,.565,100
312,IND,2024-01-18,126,@,SAC,W 126-121,240,49,89,.551,36,56,.643,13,33,.394,15,19,.789,126,44,85,.518,29,48,.604,15,37,.405,18,32,.563,121
313,PHI,2024-01-16,126,,DEN,W 126-121,240,43,76,.566,28,45,.622,15,31,.484,25,34,.735,126,45,89,.506,33,60,.550,12,29,.414,19,25,.760,121
314,IND,2024-01-12,126,@,ATL,W 126-108,240,53,79,.671,42,61,.689,11,18,.611,9,12,.750,126,40,89,.449,29,59,.492,11,30,.367,17,23,.739,108
315,LAC,2024-01-10,126,,TOR,W 126-120,240,49,93,.527,34,59,.576,15,34,.441,13,13,1.000,126,46,84,.548,34,54,.630,12,30,.400,16,18,.889,120
316,BOS,2024-01-05,126,,UTA,W 126-97,240,39,90,.433,22,41,.537,17,49,.347,31,36,.861,126,34,94,.362,28,60,.467,6,34,.176,23,34,.676,97
317,DAL,2024-01-03,126,,POR,W 126-97,240,42,84,.500,29,54,.537,13,30,.433,29,41,.707,126,34,87,.391,21,47,.447,13,40,.325,16,22,.727,97
318,WAS,2023-12-31,126,,ATL,L 126-130,240,46,98,.469,29,45,.644,17,53,.321,17,21,.810,126,47,95,.495,35,63,.556,12,32,.375,24,37,.649,130
319,NYK,2023-12-30,126,@,IND,L 126-140,240,45,95,.474,28,58,.483,17,37,.459,19,27,.704,126,50,85,.588,27,42,.643,23,43,.535,17,21,.810,140
320,BOS,2023-12-25,126,@,LAL,W 126-115,240,46,91,.505,33,49,.673,13,42,.310,21,28,.750,126,43,90,.478,30,58,.517,13,32,.406,16,21,.762,115
321,GSW,2023-12-23,126,,POR,W 126-106,240,48,83,.578,38,50,.760,10,33,.303,20,24,.833,126,38,84,.452,25,49,.510,13,35,.371,17,25,.680,106
322,BRK,2023-12-23,126,,DET,W 126-115,240,45,86,.523,35,62,.565,10,24,.417,26,32,.813,126,39,79,.494,24,44,.545,15,35,.429,22,29,.759,115
323,UTA,2023-12-23,126,@,TOR,W 126-119,240,48,91,.527,31,53,.585,17,38,.447,13,14,.929,126,45,94,.479,32,62,.516,13,32,.406,16,19,.842,119
324,BOS,2023-12-19,126,@,GSW,L 126-132 (OT),265,47,114,.412,30,56,.536,17,58,.293,15,17,.882,126,50,109,.459,30,59,.508,20,50,.400,12,14,.857,132
