,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
GSW,101.8176673835117,0.0,95.66151162790698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.43368247694336,102.91055900621116,106.90989759357609,99.096968787515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.52511561708232,102.81710597826088,0.0,99.32983928571429,0.0,0.0,103.7392982014292,0.0
IND,0.0,98.12001012145748,0.0,97.38881585192216,0.0,0.0,0.0,0.0,97.2335606060606,0.0,100.43368247694336,0.0,0.0,0.0,93.951809908999,0.0,0.0,0.0,0.0,97.74744568567027,0.0,0.0,109.411500275786,102.47524674773757,0.0,107.69402364864864,0.0,105.42500000000001,0.0,0.0
LAC,100.47845050215209,97.3611893609903,99.24815177478581,0.0,0.0,96.84646922183508,0.0,0.0,0.0,100.4939136904762,102.91055900621116,0.0,0.0,0.0,0.0,91.6985924369748,0.0,94.12809523809523,97.42677098150783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.1421293800539,0.0,99.13496163682866
LAL,105.9265156794425,96.70477718360071,0.0,104.69346014492754,101.34375844594594,0.0,0.0,94.00808897876642,108.40355555555556,104.00900657894736,106.90989759357609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.38451576576578,91.85189465408807,0.0,0.0,0.0,0.0,98.13190476190476,0.0,0.0,0.0,102.4528942428035,0.0
MEM,0.0,97.91810030395136,0.0,97.13635638297872,93.81101547388782,98.35552657004831,0.0,0.0,98.45380952380953,0.0,99.096968787515,93.951809908999,0.0,0.0,0.0,97.17289583333333,98.72862500000001,0.0,94.45145833333333,95.04179150579152,0.0,95.307,0.0,0.0,0.0,94.99993982208268,0.0,93.33772222222223,0.0,0.0
MIA,0.0,91.51287255717256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.6985924369748,0.0,97.17289583333333,0.0,100.13330555555554,0.0,0.0,92.69332387975044,0.0,92.10120129870128,97.27289803220036,95.96672463768114,0.0,94.98470085470086,102.46509661835749,0.0,0.0,99.52098039215689
MIL,0.0,0.0,0.0,96.06507843137256,0.0,101.29093853820598,102.99410256410256,97.51378174603175,0.0,104.05684057971014,0.0,0.0,0.0,0.0,98.72862500000001,100.13330555555554,0.0,88.78297297297297,103.9759375,0.0,0.0,0.0,0.0,101.66809523809523,97.66519736842105,0.0,0.0,0.0,98.23274008050605,0.0
MIN,0.0,0.0,89.7668585526316,98.4773131955485,94.40322012578618,0.0,91.94870967741936,0.0,100.4440476190476,0.0,0.0,0.0,94.12809523809523,0.0,0.0,0.0,88.78297297297297,0.0,0.0,0.0,91.31115384615384,98.12363408521304,0.0,0.0,98.38553451189547,0.0,90.22298878205129,0.0,0.0,102.18921052631578
NOP,0.0,97.41726272784415,0.0,0.0,0.0,0.0,0.0,0.0,93.04955782312925,0.0,0.0,0.0,97.42677098150783,100.38451576576578,94.45145833333333,0.0,103.9759375,0.0,0.0,0.0,97.76065466448445,0.0,0.0,0.0,86.22166666666665,0.0,99.04091818181818,96.44233333333334,0.0,101.65694409937889
NYK,0.0,0.0,0.0,90.84397435897436,0.0,0.0,94.39135964912282,90.28760683760682,91.03108695652173,0.0,0.0,97.74744568567027,0.0,91.85189465408807,95.04179150579152,92.69332387975044,0.0,0.0,0.0,0.0,0.0,84.05118139534883,0.0,0.0,0.0,0.0,0.0,0.0,89.38387681159422,0.0
OKC,0.0,0.0,0.0,101.11593750000002,0.0,0.0,103.56226107226108,92.4846,0.0,95.23935735996525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.31115384615384,97.76065466448445,0.0,0.0,99.5258536585366,0.0,0.0,0.0,100.01684668989547,100.71999999999998,87.60467690524486,96.63086466165413,0.0
ORL,0.0,0.0,0.0,0.0,85.33373779768039,90.07973684210526,97.8209090909091,0.0,0.0,92.17195701357464,0.0,0.0,0.0,0.0,95.307,92.10120129870128,0.0,98.12363408521304,0.0,84.05118139534883,99.5258536585366,0.0,0.0,96.64389285714287,0.0,0.0,97.4796823782809,0.0,0.0,0.0
