,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
LAC,148.29050334211578,118.11688081747802,125.94692975608287,0.0,0.0,111.51671389549247,0.0,0.0,0.0,123.65940577360442,126.32328621609554,0.0,0.0,0.0,0.0,112.3245158542567,0.0,106.2382062943608,108.7996645399645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.81975187287718,0.0,126.09073321471128
LAL,115.1741839306784,117.88455888126717,0.0,118.44101802380621,139.13042318753713,0.0,0.0,112.75625443672425,109.77499713006543,120.18189973300011,135.62822831542272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.46757036148725,123.02413622011301,0.0,0.0,0.0,0.0,136.5509008768567,0.0,0.0,0.0,134.69604838390734,0.0
MEM,0.0,92.93480951685478,0.0,109.1249496553841,117.25701874596844,102.68868819289814,0.0,0.0,122.90027230560136,0.0,101.92037277806702,117.08129955830032,0.0,0.0,0.0,108.05482238595768,114.45515421692542,0.0,92.11080647687194,118.89506522308575,0.0,112.26877354234212,0.0,0.0,0.0,98.94743109947713,0.0,115.70884464361497,0.0,0.0
MIA,0.0,118.01348536477298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.60028161314938,0.0,98.79298046716131,0.0,122.83625245124627,0.0,0.0,117.59207183184407,0.0,112.28479690574778,112.05587805548633,109.41292452818793,0.0,121.07212947474221,113.20928182213572,0.0,0.0,110.52945777518582
MIL,0.0,0.0,0.0,124.9153198638423,0.0,111.52629916806612,125.24988983685897,112.30434520989732,0.0,117.24361351000749,0.0,0.0,0.0,0.0,111.4165218040867,96.87086575423486,0.0,118.26592023671449,135.60829879509382,0.0,0.0,0.0,0.0,104.26083005859402,118.77311788191533,0.0,0.0,0.0,109.94297818781116,0.0
MIN,0.0,0.0,106.94370010031466,126.93278882597541,130.29216570802402,0.0,131.5951038622514,0.0,110.509286146042,0.0,0.0,0.0,128.54822961617654,0.0,0.0,0.0,145.29813057653496,0.0,0.0,0.0,117.18174121452851,108.02698145886741,0.0,0.0,126.51859395301202,0.0,124.13687632378786,0.0,0.0,115.47207321815313
NOP,0.0,114.9693564198122,0.0,0.0,0.0,0.0,0.0,0.0,118.2165746656105,0.0,0.0,0.0,120.09019576580988,121.53268765540608,101.63951059516903,0.0,112.526035170397,0.0,0.0,0.0,84.90123177351546,0.0,0.0,0.0,107.86151972628691,0.0,115.10394096985259,143.09068977316323,0.0,130.83218384961526
NYK,0.0,0.0,0.0,124.38909767804195,0.0,0.0,114.41725217378374,135.1237498402541,113.14816008864626,0.0,0.0,112.5410343019237,0.0,114.31446285939704,129.41675241096945,134.85329338514228,0.0,0.0,0.0,0.0,0.0,118.97512722591397,0.0,0.0,0.0,0.0,0.0,0.0,132.01486018415113,0.0
OKC,0.0,0.0,0.0,124.60943656879014,0.0,0.0,107.18190086883986,113.53241512641023,0.0,109.19855287024161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.61080245483534,109.45098553935127,0.0,0.0,127.60503460309367,0.0,0.0,0.0,126.97860830762482,138.9992057188245,154.10136167275516,121.07932637223821,0.0
ORL,0.0,0.0,0.0,0.0,133.5931167931318,109.90263012594106,131.87364664553962,0.0,0.0,120.42708389456509,0.0,0.0,0.0,0.0,111.21953266811461,109.1033744881183,0.0,110.06522639205359,0.0,140.39065012657846,113.53833787519358,0.0,0.0,116.92409800486246,0.0,0.0,120.5934013638277,0.0,0.0,0.0
PHI,124.48603123798384,0.0,120.94604857637034,0.0,0.0,130.31015259602214,106.92236923678155,115.13228729445214,0.0,0.0,107.29149547062042,111.50564583474593,0.0,0.0,0.0,106.91570016303284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.35614616530077,0.0,138.60629460164958,0.0,134.05840905980526,115.71398010713537
PHO,121.37262210063557,0.0,138.16261805984564,0.0,123.22685161033806,0.0,134.33063654403907,0.0,0.0,106.70830893356758,108.93129011400175,120.92047629893452,0.0,0.0,0.0,122.95928661263025,112.12957194980868,0.0,0.0,0.0,0.0,101.40320003961523,0.0,0.0,0.0,126.22595582332565,0.0,0.0,127.9734456200901,132.81416239112593
POR,0.0,0.0,0.0,0.0,100.82141907212788,0.0,0.0,121.03789204005253,147.0477774935808,131.18899035803997,0.0,0.0,0.0,112.09402310786744,0.0,0.0,121.84483644782694,101.76384475093872,97.42330813987205,0.0,0.0,0.0,137.94518270662596,0.0,0.0,0.0,99.34143539044683,0.0,0.0,0.0
SAC,121.07123621471857,0.0,0.0,0.0,116.78962473378392,112.10517503694378,121.8458767384743,117.8453047228682,0.0,120.65028085354412,134.90407410663354,123.4980321971366,0.0,0.0,108.4211213111292,111.5969193419363,0.0,0.0,0.0,0.0,112.98096644694178,0.0,0.0,121.37111136858235,0.0,0.0,0.0,0.0,0.0,0.0
SAS,0.0,0.0,110.41866782241269,0.0,0.0,100.59788282655603,91.29967235827532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.49797680605272,0.0,125.24524129096453,114.09425727713457,0.0,113.18506751389994,107.24047925406987,128.18476869175112,0.0,115.23606505291832,0.0,0.0,114.66906737735253,0.0,113.77813141582924
TOR,123.36408496030896,0.0,0.0,129.88931057307477,120.83160229141187,103.33425186001654,0.0,0.0,106.28786390101698,0.0,0.0,118.56770215793216,106.84813740470754,0.0,107.13781911445831,0.0,0.0,0.0,103.68890563272699,0.0,144.9694291291845,0.0,0.0,0.0,0.0,0.0,93.05112844555656,0.0,0.0,0.0
UTA,0.0,0.0,110.7382762924217,135.9908426853589,0.0,0.0,0.0,0.0,0.0,0.0,117.86084637042873,0.0,0.0,119.07911523794705,0.0,0.0,125.2128362694516,0.0,0.0,115.23331016074209,128.32338863382512,0.0,130.8916749875264,114.08485462256094,0.0,0.0,0.0,0.0,0.0,121.10801689057054
WAS,0.0,119.55425609846924,0.0,0.0,0.0,104.80354424416552,93.65262042288155,106.06465219669181,0.0,118.70431225269934,0.0,0.0,109.95111936322823,0.0,0.0,102.4909517551723,0.0,104.70772740968123,123.94627943647761,0.0,0.0,0.0,109.87966178240585,106.25132991290074,0.0,0.0,118.81256200945,0.0,106.33874653806193,0.0
