Rk,Team,Date,PTS,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
51,NYK,2022-11-29,140,@,DET,W 140-110,240,54,96,.563,38,61,.623,16,35,.457,16,21,.762,140,42,83,.506,29,44,.659,13,39,.333,13,20,.650,110
52,BOS,2022-11-28,140,,CHO,W 140-105,240,55,93,.591,31,41,.756,24,52,.462,6,7,.857,140,42,86,.488,31,57,.544,11,29,.379,10,15,.667,105
53,CHI,2023-03-17,139,,MIN,W 139-131 (2OT),290,51,94,.543,40,70,.571,11,24,.458,26,30,.867,139,46,100,.460,28,58,.483,18,42,.429,21,31,.677,131
54,IND,2023-03-16,139,@,MIL,W 139-123,240,54,97,.557,32,51,.627,22,46,.478,9,15,.600,139,47,89,.528,36,57,.632,11,32,.344,18,26,.692,123
55,MIL,2023-03-01,139,,ORL,W 139-117,240,49,94,.521,23,38,.605,26,56,.464,15,19,.789,139,43,94,.457,34,61,.557,9,33,.273,22,29,.759,117
56,BOS,2023-02-01,139,,BRK,W 139-96,240,53,92,.576,27,38,.711,26,54,.481,7,10,.700,139,36,88,.409,27,49,.551,9,39,.231,15,18,.833,96
57,ATL,2023-01-20,139,,NYK,W 139-124,240,56,100,.560,43,66,.652,13,34,.382,14,16,.875,139,49,83,.590,36,53,.679,13,30,.433,13,17,.765,124
58,SAC,2023-01-13,139,,HOU,W 139-114,240,47,86,.547,27,46,.587,20,40,.500,25,29,.862,139,43,91,.473,31,54,.574,12,37,.324,16,25,.640,114
59,BRK,2023-01-02,139,,SAS,W 139-103,240,58,93,.624,47,73,.644,11,20,.550,12,15,.800,139,42,97,.433,34,66,.515,8,31,.258,11,18,.611,103
60,BOS,2022-12-25,139,,MIL,W 139-118,240,50,85,.588,31,46,.674,19,39,.487,20,25,.800,139,42,84,.500,29,48,.604,13,36,.361,21,27,.778,118
61,UTA,2022-12-02,139,,IND,W 139-119,240,46,83,.554,31,49,.633,15,34,.441,32,37,.865,139,40,92,.435,28,58,.483,12,34,.353,27,33,.818,119
62,UTA,2022-11-07,139,,LAL,W 139-116,240,53,95,.558,37,57,.649,16,38,.421,17,22,.773,139,40,82,.488,31,58,.534,9,24,.375,27,30,.900,116
63,TOR,2022-10-31,139,,ATL,W 139-109,240,46,92,.500,32,58,.552,14,34,.412,33,40,.825,139,39,84,.464,28,55,.509,11,29,.379,20,25,.800,109
64,SAS,2023-04-09,138,@,DAL,W 138-117,240,51,104,.490,36,66,.545,15,38,.395,21,30,.700,138,46,108,.426,29,55,.527,17,53,.321,8,16,.500,117
65,NYK,2023-04-05,138,@,IND,W 138-129,240,52,100,.520,34,54,.630,18,46,.391,16,25,.640,138,45,87,.517,30,57,.526,15,30,.500,24,30,.800,129
66,NOP,2023-04-05,138,,MEM,W 138-131 (OT),265,44,88,.500,23,49,.469,21,39,.538,29,39,.744,138,50,104,.481,38,68,.559,12,36,.333,19,25,.760,131
67,SAC,2023-03-31,138,@,POR,W 138-114,240,54,88,.614,35,49,.714,19,39,.487,11,15,.733,138,40,85,.471,21,47,.447,19,38,.500,15,23,.652,114
68,MIA,2023-03-15,138,,MEM,W 138-119,240,49,82,.598,36,53,.679,13,29,.448,27,33,.818,138,46,91,.505,28,45,.622,18,46,.391,9,14,.643,119
69,MIN,2023-03-04,138,@,SAC,W 138-134,240,48,80,.600,28,41,.683,20,39,.513,22,31,.710,138,49,89,.551,35,62,.565,14,27,.519,22,30,.733,134
70,IND,2023-02-23,138,,BOS,L 138-142 (OT),265,49,94,.521,27,45,.600,22,49,.449,18,22,.818,138,51,99,.515,33,60,.550,18,39,.462,22,26,.846,142
71,ATL,2023-02-13,138,@,CHO,L 138-144,240,53,108,.491,42,80,.525,11,28,.393,21,21,1.000,138,53,84,.631,33,47,.702,20,37,.541,18,23,.783,144
72,OKC,2023-02-10,138,@,POR,W 138-129,240,47,83,.566,35,59,.593,12,24,.500,32,35,.914,138,42,76,.553,26,36,.722,16,40,.400,29,31,.935,129
73,DET,2023-02-10,138,,SAS,W 138-131 (2OT),290,46,107,.430,39,70,.557,7,37,.189,39,49,.796,138,45,107,.421,31,65,.477,14,42,.333,27,34,.794,131
74,LAC,2023-01-26,138,,SAS,W 138-100,240,52,89,.584,34,51,.667,18,38,.474,16,21,.762,138,37,82,.451,29,58,.500,8,24,.333,18,28,.643,100
75,WAS,2023-01-21,138,,ORL,W 138-118,240,51,95,.537,33,61,.541,18,34,.529,18,25,.720,138,42,90,.467,28,56,.500,14,34,.412,20,24,.833,118
76,CHO,2023-01-06,138,@,MIL,W 138-109,240,53,102,.520,33,54,.611,20,48,.417,12,19,.632,138,37,84,.440,17,36,.472,20,48,.417,15,24,.625,109
77,SAS,2022-11-26,138,,LAL,L 138-143,240,53,105,.505,35,68,.515,18,37,.486,14,20,.700,138,47,81,.580,30,48,.625,17,33,.515,32,37,.865,143
78,MEM,2023-04-07,137,@,MIL,W 137-114,240,53,93,.570,33,51,.647,20,42,.476,11,15,.733,137,42,92,.457,21,43,.488,21,49,.429,9,11,.818,114
79,CHO,2023-03-28,137,@,OKC,W 137-134,240,52,94,.553,38,59,.644,14,35,.400,19,30,.633,137,50,96,.521,39,66,.591,11,30,.367,23,29,.793,134
80,NYK,2023-03-27,137,,HOU,W 137-115,240,50,86,.581,33,47,.702,17,39,.436,20,28,.714,137,42,87,.483,35,61,.574,7,26,.269,24,29,.828,115
81,BOS,2023-03-26,137,,SAS,W 137-93,240,52,91,.571,34,47,.723,18,44,.409,15,21,.714,137,36,97,.371,28,61,.459,8,36,.222,13,18,.722,93
82,DAL,2023-03-15,137,@,SAS,W 137-128 (OT),265,44,86,.512,27,53,.509,17,33,.515,32,37,.865,137,49,107,.458,34,73,.466,15,34,.441,15,26,.577,128
83,OKC,2023-03-07,137,,GSW,W 137-128,240,50,94,.532,33,57,.579,17,37,.459,20,24,.833,137,47,89,.528,27,38,.711,20,51,.392,14,16,.875,128
84,PHI,2023-02-03,137,@,SAS,W 137-125,240,46,87,.529,33,60,.550,13,27,.481,32,41,.780,137,52,89,.584,45,68,.662,7,21,.333,14,15,.933,125
