Rk,Season,Team,W,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%
154,2018-19,DEN,54,82,54,28,.659,19730,3439,7384,2536,4813,903,2571,1294,1714,972,2832,3804,2245,634,363,1102,1644,9075,.466,.527,.351,.755,.558,.527
155,2018-19,HOU,53,82,53,29,.646,19830,3218,7163,1895,3442,1323,3721,1582,2001,836,2613,3449,1741,700,405,1094,1803,9341,.449,.551,.356,.791,.581,.542
156,2018-19,POR,53,82,53,29,.646,19855,3470,7427,2566,4907,904,2520,1558,1914,967,2968,3935,1887,546,413,1135,1669,9402,.467,.523,.359,.814,.568,.528
157,2018-19,PHI,51,82,51,31,.622,19805,3407,7233,2518,4759,889,2474,1742,2258,892,3025,3917,2207,606,432,1223,1745,9445,.471,.529,.359,.771,.574,.532
158,2018-19,UTA,50,82,50,32,.610,19755,3314,7082,2321,4293,993,2789,1540,2092,820,2981,3801,2133,663,483,1240,1728,9161,.468,.541,.356,.736,.572,.538
159,2018-19,BOS,49,82,49,33,.598,19780,3451,7423,2419,4594,1032,2829,1282,1598,804,2849,3653,2155,706,435,1052,1670,9216,.465,.527,.365,.802,.567,.534
160,2018-19,OKC,49,82,49,33,.598,19855,3497,7706,2565,5029,932,2677,1461,2049,1031,2911,3942,1917,766,425,1145,1839,9387,.454,.510,.348,.713,.545,.514
161,2018-19,IND,48,82,48,34,.585,19705,3390,7135,2611,5054,779,2081,1298,1727,762,2766,3528,2128,713,404,1122,1594,8857,.475,.517,.374,.752,.561,.530
162,2018-19,LAC,48,82,48,34,.585,19830,3384,7178,2563,5060,821,2118,1853,2340,796,2936,3732,1970,561,385,1193,1913,9442,.471,.507,.388,.792,.575,.529
163,2018-19,SAS,48,82,48,34,.585,19805,3468,7248,2656,5177,812,2071,1408,1720,757,2910,3667,2013,501,386,992,1487,9156,.478,.513,.392,.819,.572,.534
164,2018-19,BRK,42,82,42,40,.512,19980,3301,7358,2254,4393,1047,2965,1555,2088,900,2919,3819,1954,539,339,1236,1763,9204,.449,.513,.353,.745,.556,.520
165,2018-19,ORL,42,82,42,40,.512,19780,3316,7307,2379,4674,937,2633,1231,1575,822,2902,3724,2095,543,445,1082,1526,8800,.454,.509,.356,.782,.550,.518
166,2018-19,DET,41,82,41,41,.500,19855,3185,7238,2192,4384,993,2854,1415,1893,936,2752,3688,1845,569,331,1135,1811,8778,.440,.500,.348,.747,.544,.509
167,2018-19,CHO,39,82,39,43,.476,19830,3297,7362,2320,4579,977,2783,1510,1895,814,2778,3592,1905,591,405,1001,1550,9081,.448,.507,.351,.797,.554,.514
168,2018-19,MIA,39,82,39,43,.476,19730,3251,7218,2323,4560,928,2658,1238,1782,921,2879,3800,1991,627,448,1208,1712,8668,.450,.509,.349,.695,.542,.515
169,2018-19,SAC,39,82,39,43,.476,19730,3541,7637,2614,5182,927,2455,1354,1865,906,2819,3725,2083,679,363,1095,1751,9363,.464,.504,.378,.726,.554,.524
170,2018-19,LAL,37,82,37,45,.451,19780,3491,7425,2644,4884,847,2541,1336,1910,835,2985,3820,2096,618,440,1284,1701,9165,.470,.541,.333,.699,.554,.527
171,2018-19,MIN,36,82,36,46,.439,19830,3413,7483,2586,5126,827,2357,1570,1995,923,2750,3673,2018,683,411,1074,1664,9223,.456,.504,.351,.787,.552,.511
172,2018-19,DAL,33,82,33,49,.402,19780,3182,7122,2160,4120,1022,3002,1541,2076,832,2884,3716,1918,533,351,1167,1650,8927,.447,.524,.340,.742,.555,.519
173,2018-19,MEM,33,82,33,49,.402,19880,3113,6924,2302,4556,811,2368,1453,1882,723,2703,3426,1963,684,448,1147,1801,8490,.450,.505,.342,.772,.548,.508
174,2018-19,NOP,33,82,33,49,.402,19755,3581,7563,2739,5114,842,2449,1462,1921,909,2969,3878,2216,610,441,1215,1732,9466,.473,.536,.344,.761,.563,.529
175,2018-19,WAS,32,82,32,50,.390,19930,3456,7387,2526,4656,930,2731,1508,1963,794,2679,3473,2154,683,379,1154,1701,9350,.468,.543,.341,.768,.567,.531
176,2018-19,ATL,29,82,29,53,.354,19855,3392,7524,2325,4490,1067,3034,1443,1918,955,2825,3780,2118,675,419,1397,1932,9294,.451,.518,.352,.752,.555,.522
177,2018-19,CHI,22,82,22,60,.268,19905,3266,7205,2521,5082,745,2123,1328,1695,718,2799,3517,1796,603,351,1159,1663,8605,.453,.496,.351,.783,.541,.505
178,2018-19,CLE,19,82,19,63,.232,19755,3189,7184,2342,4796,847,2388,1342,1694,879,2619,3498,1698,534,195,1106,1642,8567,.444,.488,.355,.792,.540,.503
179,2018-19,PHO,19,82,19,63,.232,19880,3289,7164,2499,4764,790,2400,1447,1858,748,2563,3311,1957,735,418,1279,1932,8815,.459,.525,.329,.779,.552,.514
180,2018-19,NYK,17,82,17,65,.207,19780,3134,7241,2311,4820,823,2421,1484,1956,857,2811,3668,1646,557,422,1151,1713,8575,.433,.479,.340,.759,.529,.490
